Recommendations for user A0488385844WNV2OWO9X: ['B0002H842C', 'B0001EKVCW', 'B0001EL9BO', 'B000GSTHZU', 'B0001EKYEM', 'B000HX6JRI', 'B001G9CJO4', 'B008MAUMEO', 'B004ILMUYG', 'B00F9JGPTW']
Recommendations for user A0916357J9P21ZUYUZO6: ['B00172DJWQ', 'B000OYHN2K', 'B00172LMES', 'B0015Z90NC', 'B000PHZ7GK', 'B002612K9K', 'B0017SWIU4', 'B003L8RVZ0', 'B000SWY05Q', 'B0015VIKZ0']
Recommendations for user A0976794S8VOYNT78YEM: ['B007PORYUI', 'B000J4FGAG', 'B000J4IE32', 'B001782ONU', 'B0011U7772', 'B000XTFP1W', 'B00YFTOET0', 'B003CFB39C', 'B002D4J3VI', 'B000NARU2S']
Recommendations for user A1004703RC79J9: ['B005R3PLHC', 'B000HP9M34', 'B000BJUS6Q', 'B000J5A2K4', 'B000C1Z2D2', 'B0001XDTYA', 'B006IQVFTA', 'B00FBH5AXY', 'B001G60E3K', 'B000MIH34Q']
Recommendations for user A100WO06OQR8BQ: ['B002HG7NX2', 'B01GDUM666', 'B00J66M2SM', 'B01ALDX6JW', 'B00B95PWYE', 'B00172LM8O', 'B0002RI2PG', 'B00JDTAAF4', 'B01CEJLJOK', 'B01H353A74']
Recommendations for user A100ZQDV7L8PVV: ['B00R1CL2HK', 'B009C5NAJC', 'B00YOL1D9I', 'B003EHOLAQ', 'B01GDUM666', 'B00M0V39VE', 'B005EZSUS0', 'B00NIQALAC', 'B00LA5NKTM', 'B00B95PWYE']
Recommendations for user A102300ZYSDHRR: ['B00021B3XU', 'B0007Z3P6Y', 'B001552Y5I', 'B00H90VR8S', 'B001ABYS4C', 'B0042L1XJK', 'B000V3O8NQ', 'B0015ZC1CY', 'B0015ZAOGO', 'B016M9UDQ8']
Recommendations for user A102866V814SOJ: ['B0006O4M8Q', 'B00021CDQ6', 'B0084GVSWG', 'B0001XDU2Q', 'B000HP9M34', 'B000LRPGF6', 'B0140H17MS', 'B000HP5G70', 'B000BJUS6Q', 'B001W12MQ6']
Recommendations for user A102V8N45CTOIC: ['B00B59AULY', 'B00699JDKY', 'B000J4IE32', 'B00YFTOET0', 'B0011U7772', 'B000XTFP1W', 'B001782ONU', 'B000SX3380', 'B011CWNV1O', 'B000CNTT9I']
Recommendations for user A1047EDJ84IMAS: ['B00N0YMMMC', 'B0017SR7FA', 'B000R92XIG', 'B00IK1CJZU', 'B000GHVTN4', 'B00913VHXQ', 'B0057MMSWY', 'B002RS6JSA', 'B001FYZAWS', 'B00HX27AM4']
Recommendations for user A107RJ8R12ERDP: ['B00A9OEJT0', 'B00021CDQ6', 'B000HP9M34', 'B00UKNJLRU', 'B000BOCRVA', 'B0084GVSWG', 'B00UKL9TR4', 'B000MIKEZQ', 'B003CR6DWM', 'B0006O4M8Q']
Recommendations for user A108XP24UESKSV: ['B00172NNIG', 'B014OSNXAW', 'B002A9JR8U', 'B00547H5U2', 'B01D0KHXGK', 'B016M9UEY4', 'B006XCUR5C', 'B01FB6G8GM', 'B000GEJQKK', 'B001NZ1OWO']
Recommendations for user A109L3WXD1SJFU: ['B0188Q46E8', 'B001NZ1OWO', 'B003BT6HMW', 'B002P3L99G', 'B009C5NAJC', 'B01BMBNK2U', 'B00C1RWL16', 'B00M0V083Q', 'B00M0V03Q8', 'B01ALDX6JW']
Recommendations for user A10CGTF3GZ2V65: ['B0002ZW5UQ', 'B0001Z66UM', 'B00VT144DS', 'B005VQZ09O', 'B0002EBI82', 'B004XBDPN6', 'B00LA5NHXQ', 'B01C8278QQ', 'B000GAO1PE', 'B00LA5NKTM']
Recommendations for user A10H63KUGJEPAJ: ['B0001UWRCI', 'B0017XFSB0', 'B000ZOFWLS', 'B006JYMPUO', 'B000NUG5LK', 'B00ALHISAQ', 'B000V87E7S', 'B0029RHE0Q', 'B002D48QSE', 'B00BDJ0LX8']
Recommendations for user A10K606KWGOA2Y: ['B0009OAGVA', 'B000JL1NJM', 'B000I1Y75K', 'B000068DWY', 'B0017XFSB0', 'B000QHF8OU', 'B000UV7FXE', 'B0001UWRCI', 'B00EOBAY3Y', 'B0002MES86']
Recommendations for user A10NK3J44E66BN: ['B0002H842C', 'B00LAN3LJI', 'B0001EKVCW', 'B0009DSONI', 'B000HX6JRI', 'B0006NXBIE', 'B000GSTHZU', 'B010NHCYHQ', 'B00005V50B', 'B000GHXTPA']
Recommendations for user A10QJ6CMP3UHC6: ['B0045ZXAUI', 'B00UJTDAJA', 'B0010P6D28', 'B004KIB688', 'B0009DVDTU', 'B001CY837U', 'B00G193RVI', 'B000H9C1UG', 'B01B3QIEPC', 'B00BWV5NAI']
Recommendations for user A10S3PNZ5Y0FRT: ['B0013U0EYI', 'B0001Z66UM', 'B000QGKQXO', 'B005VQZ09O', 'B0002EBI82', 'B00VT144DS', 'B000XYYI74', 'B00VXO5RPK', 'B00GTXADLI', 'B004XBDPN6']
Recommendations for user A10VTKMX0HUEJK: ['B00699JDKY', 'B0006PLMFQ', 'B000J4IE32', 'B001782ONU', 'B00YFTOET0', 'B000SX3380', 'B0011U7772', 'B000XTFP1W', 'B000CNTT9I', 'B002D4J3VI']
Recommendations for user A10Y058K7B96C6: ['B00NEPFQPW', 'B00NVJ3WZC', 'B00II27SSO', 'B015QAUJ0Y', 'B000LZBNJG', 'B001F0D11Y', 'B00ZL8YFSE', 'B01BI8MEZ6', 'B013SZNKQE', 'B00BH4KYHC']
Recommendations for user A10ZBR6O8S8OCY: ['B0188Q46E8', 'B00H2VO6P0', 'B01GDUM666', 'B00014GT8W', 'B002HG7NX2', 'B00J66M2SM', 'B00JH94LFA', 'B00DKMX3RW', 'B004Q1OBNQ', 'B00LA5NKTM']
Recommendations for user A110KACX3W12L9: ['B003OGV7UO', 'B004J0XOTQ', 'B00IRNQM22', 'B00AAV845M', 'B004W55086', 'B0027UY3IG', 'B004N2SQUC', 'B000S7ZMDA', 'B01CY8BTKA', 'B00X8T2L5W']
Recommendations for user A110RS7QL8Q1UX: ['B00JDTAAF4', 'B005R3PLHC', 'B00UKLKNJC', 'B00261803U', 'B00COV2LUA', 'B01ALDX700', 'B00C9O4EQ6', 'B000YOMR8A', 'B00LO1DNXU', 'B000Q39MBY']
Recommendations for user A111VACTMOWL5H: ['B0001EKVCW', 'B0001EKVGS', 'B0002H842C', 'B000CR0F4C', 'B000CRQHNU', 'B0019R0V52', 'B0009DSONI', 'B001CWF2US', 'B000HX6JRI', 'B00IZO0LLG']
Recommendations for user A113DS2A66B9VJ: ['B00DTH63P2', 'B00BXS9PFE', 'B000J4IE32', 'B00YFTOET0', 'B0011U7772', 'B000XTFP1W', 'B001782ONU', 'B002D4J3VI', 'B00FRRVXLQ', 'B000SX3380']
